Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
vernaschen,vernasche,vernaschst,vernascht,vernaschte,vernascht,vernaschte,vernasche,vernascht,haben
befördern,befördere,beförderst,befördert,beförderte,befördert,beförderte,befördere,befördert,haben
vergehen,vergehe,vergehst,vergeht,verging,vergangen,verginge,vergehe,vergeht,haben
vermuten,vermute,vermutest,vermutet,vermutete,vermutet,vermutete,vermut,vermutet,haben
begegnen,begegne,begegnest,begegnet,begegnete,begegnet,begegnete,begegne,begegnet,sein
unterpunkten,unterpunkte,unterpunktest,unterpunktet,unterpunktete,unterpunktet,unterpunktete,unterpunkte,unterpunktet,haben
abklemmen,klemme ab,klemmst ab,klemmt ab,klemmte ab,abgeklemmt,klemmte ab,klemm ab,klemmt ab,haben
schachern,schachere,schacherst,schachert,schacherte,geschachert,schacherte,schachere,schachert,haben
auflösen,löse auf,löst auf,löst auf,löste auf,aufgelöst,löste auf,löse auf,löst auf,haben
schwanen,—,—,schwant,schwante,geschwant,schwante,—,—,haben
heranwachsen,wachse heran,wächst heran,wächst heran,wuchs heran,herangewachsen,wüchse heran,wachse heran,wachst heran,sein
bestimmen,bestimme,bestimmst,bestimmt,bestimmte,bestimmt,bestimmte,bestimme,bestimmt,haben
schüren,schüre,schürst,schürt,schürte,geschürt,schürte,schüre,schürt,haben
revanchieren,revanchiere,revanchierst,revanchiert,revanchierte,revanchiert,revanchierte,revanchier,revanchiert,haben
ausfratscheln,fratschle aus,fratschelst aus,fratschelt aus,fratschelte aus,ausgefratschelt,fratschelte aus,fratschle aus,fratschelt aus,haben
anpingen,pinge an,pingst an,pingt an,pingte an,angepingt,pingte an,ping an,pingt an,haben
senden,sende,sendest,sendet,sendete,gesendet,sendete,sende,sendet,haben
exzerpieren,exzerpiere,exzerpierst,exzerpiert,exzerpierte,exzerpiert,exzerpierte,exzerpiere,exzerpiert,haben
perpetuieren,perpetuiere,perpetuierst,perpetuiert,perpetuierte,perpetuiert,perpetuierte,perpetuiere,perpetuiert,haben
disputieren,disputiere,disputierst,disputiert,disputierte,disputiert,disputierte,disputiere,disputiert,haben
bemustern,bemustere,bemusterst,bemustert,bemusterte,bemustert,bemusterte,bemustere,bemustert,haben
faszinieren,fasziniere,faszinierst,fasziniert,faszinierte,fasziniert,faszinierte,fasziniere,fasziniert,haben
gasen,gase,gast,gast,gaste,gegast,gaste,gas,gast,haben
umfallen,falle um,fällst um,fällt um,fiel um,umgefallen,fiele um,fall um,fallt um,sein
schämen,schäme,schämst,schämt,schämte,geschämt,schämte,schäm,schämt,haben
trüben,trübe,trübst,trübt,trübte,getrübt,trübte,trübe,trübt,haben
verbleiben,verbleibe,verbleibst,verbleibt,verblieb,verblieben,verbliebe,verbleibe,verbleibt,sein
vorgeben,gebe vor,gibst vor,gibt vor,gab vor,vorgegeben,gäbe vor,gib vor,gebt vor,haben
beleben,belebe,belebst,belebt,belebte,belebt,belebte,belebe,belebt,haben
mehren,mehre,mehrst,mehrt,mehrte,gemehrt,mehrte,mehre,mehrt,haben
argwöhnen,argwöhne,argwöhnst,argwöhnt,argwöhnte,geargwöhnt,argwöhnte,argwöhn,argwöhnt,haben
steigen,steige,steigst,steigt,stieg,gestiegen,stiege,steig,steigt,sein
genießen,genieße,genießt,genießt,genoss,genossen,genösse,genieß,genießt,haben
drapieren,drapiere,drapierst,drapiert,drapierte,drapiert,drapierte,drapiere,drapiert,haben
lädieren,lädiere,lädierst,lädiert,lädierte,lädiert,lädierte,lädiere,lädiert,haben
vomieren,vomiere,vomierst,vomiert,vomierte,vomiert,vomierte,vomiere,vomiert,haben
frühstücken,frühstücke,frühstückst,frühstückt,frühstückte,gefrühstückt,frühstückte,frühstücke,frühstückt,haben
abendessen,—,—,—,—,abendgegessen,—,—,—,haben
mittagessen,—,—,—,—,mittaggegessen,—,—,—,haben
möblieren,möbliere,möblierst,möbliert,möblierte,möbliert,möblierte,möbliere,möbliert,haben
meinen,meine,meinst,meint,meinte,gemeint,meinte,meine,meint,haben
erheben,erhebe,erhebst,erhebt,erhob,erhoben,erhöbe,erhebe,erhebt,haben
verlangen,verlange,verlangst,verlangt,verlangte,verlangt,verlangte,verlange,verlangt,haben
anschließen,schließe an,schließt an,schließt an,schloss an,angeschlossen,schlösse an,schließ an,schließt an,haben
pochen,poche,pochst,pocht,pochte,gepocht,pochte,poche,pocht,haben
kundtun,tu kund,tust kund,tut kund,tat kund,kundgetan,täte kund,tu kund,tut kund,haben
eiern,eiere,eierst,eiert,eierte,geeiert,eierte,eiere,eiert,haben
einnehmen,nehme ein,nimmst ein,nimmt ein,nahm ein,eingenommen,nähme ein,nimm ein,nehmt ein,haben
ausnehmen,nehme aus,nimmst aus,nimmt aus,nahm aus,ausgenommen,nähme aus,nimm aus,nehmt aus,haben
nachschlagen,schlage nach,schlägst nach,schlägt nach,schlug nach,nachgeschlagen,schlüge nach,schlag nach,schlagt nach,haben
angeben,gebe an,gibst an,gibt an,gab an,angegeben,gäbe an,gib an,gebt an,haben
unterstehen,unterstehe,unterstehst,untersteht,unterstand,unterstanden,unterstünde,unterstehe,untersteht,haben
modulieren,moduliere,modulierst,moduliert,modulierte,moduliert,modulierte,moduliere,moduliert,haben
turteln,turtle,turtelst,turtelt,turtelte,geturtelt,turtelte,turtle,turtelt,haben
kobern,kobere,koberst,kobert,koberte,gekobert,koberte,kobere,kobert,haben
passen,passe,passt,passt,passte,gepasst,passte,pass,passt,haben
schiffen,schiffe,schiffst,schifft,schiffte,geschifft,schiffte,schiff,schifft,haben
aufräumen,räume auf,räumst auf,räumt auf,räumte auf,aufgeräumt,räumte auf,räum auf,räumt auf,haben
äufnen,äufne,äufnest,äufnet,äufnete,geäufnet,äufnete,äufne,äufnet,haben
wickeln,wickle,wickelst,wickelt,wickelte,gewickelt,wickelte,wickle,wickelt,haben
aufwickeln,wickle auf,wickelst auf,wickelt auf,wickelte auf,aufgewickelt,wickelte auf,wickle auf,wickelt auf,haben
aufwachen,wache auf,wachst auf,wacht auf,wachte auf,aufgewacht,wachte auf,wach auf,wacht auf,sein
drangsalieren,drangsaliere,drangsalierst,drangsaliert,drangsalierte,drangsaliert,drangsalierte,drangsaliere,drangsaliert,haben
schassen,schasse,schasst,schasst,schasste,geschasst,schasste,schass,schasst,haben
aushändigen,händige aus,händigst aus,händigt aus,händigte aus,ausgehändigt,händigte aus,händig aus,händigt aus,haben
dümpeln,dümple,dümpelst,dümpelt,dümpelte,gedümpelt,dümpelte,dümple,dümpelt,haben
ritzen,ritze,ritzt,ritzt,ritzte,geritzt,ritzte,ritze,ritzt,haben
urgieren,urgiere,urgierst,urgiert,urgierte,urgiert,urgierte,urgiere,urgiert,haben
verfassen,verfasse,verfasst,verfasst,verfasste,verfasst,verfasste,verfass,verfasst,haben
süßen,süße,süßt,süßt,süßte,gesüßt,süßte,süß,süßt,haben
richten,richte,richtest,richtet,richtete,gerichtet,richtete,richte,richtet,haben
rüffeln,rüffle,rüffelst,rüffelt,rüffelte,gerüffelt,rüffelte,rüffle,rüffelt,haben
flirren,flirre,flirrst,flirrt,flirrte,geflirrt,flirrte,flirre,flirrt,haben
aufrichten,richte auf,richtest auf,richtet auf,richtete auf,aufgerichtet,richtete auf,richte auf,richtet auf,haben
dönern,dönere,dönerst,dönert,dönerte,gedönert,dönerte,dönere,dönert,haben
befremden,befremde,befremdest,befremdet,befremdete,befremdet,befremdete,befremde,befremdet,haben
invertieren,invertiere,invertierst,invertiert,invertierte,invertiert,invertierte,invertiere,invertiert,haben
mampfen,mampfe,mampfst,mampft,mampfte,gemampft,mampfte,mampfe,mampft,haben
verreisen,verreise,verreist,verreist,verreiste,verreist,verreiste,verreise,verreist,sein
wegfahren,fahre weg,fährst weg,fährt weg,fuhr weg,weggefahren,führe weg,fahr weg,fahrt weg,sein
vermieten,vermiete,vermietest,vermietet,vermietete,vermietet,vermietete,vermiete,vermietet,haben
versehren,versehre,versehrst,versehrt,versehrte,versehrt,versehrte,versehre,versehrt,haben
fordern,fordere,forderst,fordert,forderte,gefordert,forderte,fordere,fordert,haben
verehren,verehre,verehrst,verehrt,verehrte,verehrt,verehrte,verehre,verehrt,haben
umziehen,ziehe um,ziehst um,zieht um,zog um,umgezogen,zöge um,zieh um,zieht um,sein
transportieren,transportiere,transportierst,transportiert,transportierte,transportiert,transportierte,transportiere,transportiert,haben
entgegenkommen,komme entgegen,kommst entgegen,kommt entgegen,kam entgegen,entgegengekommen,käme entgegen,komm entgegen,kommt entgegen,sein
überholen,überhole,überholst,überholt,überholte,überholt,überholte,überhol,überholt,haben
besteigen,besteige,besteigst,besteigt,bestieg,bestiegen,bestiege,besteig,besteigt,haben
zagen,zage,zagst,zagt,zagte,gezagt,zagte,zage,zagt,haben
übernachten,übernachte,übernachtest,übernachtet,übernachtete,übernachtet,übernachtete,übernachte,übernachtet,haben
buchen,buche,buchst,bucht,buchte,gebucht,buchte,buch,bucht,haben
reservieren,reserviere,reservierst,reserviert,reservierte,reserviert,reservierte,reservier,reserviert,haben
auspacken,packe aus,packst aus,packt aus,packte aus,ausgepackt,packte aus,pack aus,packt aus,haben
einpacken,packe ein,packst ein,packt ein,packte ein,eingepackt,packte ein,pack ein,packt ein,haben
verbringen,verbringe,verbringst,verbringt,verbrachte,verbracht,verbrächte,verbringe,verbringt,haben
besichtigen,besichtige,besichtigst,besichtigt,besichtigte,besichtigt,besichtigte,besichtige,besichtigt,haben
optieren,optiere,optierst,optiert,optierte,optiert,optierte,optiere,optiert,haben
lustwandeln,lustwandle,lustwandelst,lustwandelt,lustwandelte,lustgewandelt,lustwandelte,lustwandle,lustwandelt,sein
nagen,nage,nagst,nagt,nagte,genagt,nagte,nag,nagt,haben
knabbern,knabbere,knabberst,knabbert,knabberte,geknabbert,knabberte,knabber,knabbert,haben
verbieten,verbiete,verbietest,verbietet,verbot,verboten,verböte,verbiet,verbietet,haben
frohlocken,frohlocke,frohlockst,frohlockt,frohlockte,frohlockt,frohlockte,frohlocke,frohlockt,haben
kaprizieren,kapriziere,kaprizierst,kapriziert,kaprizierte,kapriziert,kaprizierte,kaprizier,kapriziert,haben
weihnachten,—,—,weihnachtet,weihnachtete,geweihnachtet,weihnachtete,—,—,haben
einführen,führe ein,führst ein,führt ein,führte ein,eingeführt,führte ein,führ ein,führt ein,haben
auskehren,kehre aus,kehrst aus,kehrt aus,kehrte aus,ausgekehrt,kehrte aus,kehr aus,kehrt aus,haben
initiieren,initiiere,initiierst,initiiert,initiierte,initiiert,initiierte,initiiere,initiiert,haben
beschädigen,beschädige,beschädigst,beschädigt,beschädigte,beschädigt,beschädigte,beschädige,beschädigt,haben
zurückgeben,gebe zurück,gibst zurück,gibt zurück,gab zurück,zurückgegeben,gäbe zurück,gib zurück,gebt zurück,haben
leuchten,leuchte,leuchtest,leuchtet,leuchtete,geleuchtet,leuchtete,leuchte,leuchtet,haben
fortsetzen,setze fort,setzt fort,setzt fort,setzte fort,fortgesetzt,setzte fort,setz fort,setzt fort,haben
reichen,reiche,reichst,reicht,reichte,gereicht,reichte,reiche,reicht,haben
klatschen,klatsche,klatschst,klatscht,klatschte,geklatscht,klatschte,klatsch,klatscht,haben
zünden,zünde,zündest,zündet,zündete,gezündet,zündete,zünd,zündet,haben
seifen,seife,seifst,seift,seifte,geseift,seifte,seif,seift,haben
fegen,fege,fegst,fegt,fegte,gefegt,fegte,fege,fegt,haben
türken,türke,türkst,türkt,türkte,getürkt,türkte,türke,türkt,haben
räuspern,räuspere,räusperst,räuspert,räusperte,geräuspert,räusperte,räuspere,räuspert,haben
adeln,adele,adelst,adelt,adelte,geadelt,adelte,adele,adelt,haben
knattern,knattere,knatterst,knattert,knatterte,geknattert,knatterte,knattere,knattert,haben
bedienen,bediene,bedienst,bedient,bediente,bedient,bediente,bedien,bedient,haben
ramponieren,ramponiere,ramponierst,ramponiert,ramponierte,ramponiert,ramponierte,ramponier,ramponiert,haben
reinpfeifen,pfeife rein,pfeifst rein,pfeift rein,pfiff rein,reingepfiffen,pfiffe rein,pfeif rein,pfeift rein,haben
fabrizieren,fabriziere,fabrizierst,fabriziert,fabrizierte,fabriziert,fabrizierte,fabrizier,fabriziert,haben
fabulieren,fabuliere,fabulierst,fabuliert,fabulierte,fabuliert,fabulierte,fabulier,fabuliert,haben
poussieren,poussiere,poussierst,poussiert,poussierte,poussiert,poussierte,poussiere,poussiert,haben
insinuieren,insinuiere,insinuierst,insinuiert,insinuierte,insinuiert,insinuierte,insinuiere,insinuiert,haben
sponsern,sponsere,sponserst,sponsert,sponserte,gesponsert,sponserte,sponsere,sponsert,haben
gereichen,gereiche,gereichst,gereicht,gereichte,gereicht,gereichte,gereich,gereicht,haben
aggregieren,aggregiere,aggregierst,aggregiert,aggregierte,aggregiert,aggregierte,aggregiere,aggregiert,haben
kuratieren,kuratiere,kuratierst,kuratiert,kuratierte,kuratiert,kuratierte,kuratier,kuratiert,haben
bannen,banne,bannst,bannt,bannte,gebannt,bannte,banne,bannt,haben
konfluieren,—,—,konfluiert,konfluierte,konfluiert,konfluierte,—,—,sein
vergeben,vergebe,vergibst,vergibt,vergab,vergeben,vergäbe,vergib,vergebt,haben
schicken,schicke,schickst,schickt,schickte,geschickt,schickte,schick,schickt,haben
drücken,drücke,drückst,drückt,drückte,gedrückt,drückte,drück,drückt,haben
stecken,stecke,steckst,steckt,steckte,gesteckt,steckte,steck,steckt,haben
übergeben,übergebe,übergibst,übergibt,übergab,übergeben,übergäbe,übergib,übergebt,haben
lenken,lenke,lenkst,lenkt,lenkte,gelenkt,lenkte,lenk,lenkt,haben
begehen,begehe,begehst,begeht,beging,begangen,beginge,begeh,begeht,haben
angreifen,greife an,greifst an,greift an,griff an,angegriffen,griffe an,greif an,greift an,haben
schützen,schütze,schützt,schützt,schützte,geschützt,schützte,schütze,schützt,haben
versorgen,versorge,versorgst,versorgt,versorgte,versorgt,versorgte,versorg,versorgt,haben
kämpfen,kämpfe,kämpfst,kämpft,kämpfte,gekämpft,kämpfte,kämpf,kämpft,haben
mischen,mische,mischst,mischt,mischte,gemischt,mischte,misch,mischt,haben
aufheben,hebe auf,hebst auf,hebt auf,hob auf,aufgehoben,höbe auf,heb auf,hebt auf,haben
scheinen,scheine,scheinst,scheint,schien,geschienen,schiene,scheine,scheint,haben
abschließen,schließe ab,schließt ab,schließt ab,schloss ab,abgeschlossen,schlösse ab,schließ ab,schließt ab,haben
entscheiden,entscheide,entscheidest,entscheidet,entschied,entschieden,entschiede,entscheide,entscheidet,haben
ansehen,sehe an,siehst an,sieht an,sah an,angesehen,sähe an,sieh an,seht an,haben
verderben,verderbe,verdirbst,verdirbt,verdarb,verdorben,verdürbe,verdirb,verderbt,haben
schreiten,schreite,schreitest,schreitet,schritt,geschritten,schritte,schreite,schreitet,sein
fischen,fische,fischst,fischt,fischte,gefischt,fischte,fische,fischt,haben
garantieren,garantiere,garantierst,garantiert,garantierte,garantiert,garantierte,garantiere,garantiert,haben
erledigen,erledige,erledigst,erledigt,erledigte,erledigt,erledigte,erledig,erledigt,haben
reißen,reiße,reißt,reißt,riss,gerissen,risse,reiße,reißt,haben
vermengen,vermenge,vermengst,vermengt,vermengte,vermengt,vermengte,vermenge,vermengt,haben
tagen,tage,tagst,tagt,tagte,getagt,tagte,tag,tagt,haben
jagen,jage,jagst,jagt,jagte,gejagt,jagte,jag,jagt,haben
sieden,siede,siedest,siedet,sott,gesotten,sötte,sied,siedet,haben
weggehen,gehe weg,gehst weg,geht weg,ging weg,weggegangen,ginge weg,geh weg,geht weg,sein
aushalten,halte aus,hältst aus,hält aus,hielt aus,ausgehalten,hielte aus,halt aus,haltet aus,haben
ansprechen,spreche an,sprichst an,spricht an,sprach an,angesprochen,spräche an,sprich an,sprecht an,haben
schwatzen,schwatze,schwatzt,schwatzt,schwatzte,geschwatzt,schwatzte,schwatz,schwatzt,haben
konvergieren,konvergiere,konvergierst,konvergiert,konvergierte,konvergiert,konvergierte,konvergiere,konvergiert,haben
differieren,differiere,differierst,differiert,differierte,differiert,differierte,differiere,differiert,haben
isolieren,isoliere,isolierst,isoliert,isolierte,isoliert,isolierte,isoliere,isoliert,haben
traben,trabe,trabst,trabt,trabte,getrabt,trabte,trabe,trabt,sein
torpedieren,torpediere,torpedierst,torpediert,torpedierte,torpediert,torpedierte,torpediere,torpediert,haben
abdingen,dinge ab,dingst ab,dingt ab,dingte ab,abgedingt,dingte ab,dinge ab,dingt ab,haben
mahlen,mahle,mahlst,mahlt,mahlte,gemahlen,mahlte,mahle,mahlt,haben
gammeln,gammle,gammelst,gammelt,gammelte,gegammelt,gammelte,gammle,gammelt,haben
aufmotzen,motze auf,motzt auf,motzt auf,motzte auf,aufgemotzt,motzte auf,motz auf,motzt auf,haben
affigieren,affigiere,affigierst,affigiert,affigierte,affigiert,affigierte,affigiere,affigiert,haben
garen,gare,garst,gart,garte,gegart,garte,gare,gart,haben
gieren,giere,gierst,giert,gierte,gegiert,gierte,giere,giert,haben
babbeln,babble,babbelst,babbelt,babbelte,gebabbelt,babbelte,babble,babbelt,haben
vertreiben,vertreibe,vertreibst,vertreibt,vertrieb,vertrieben,vertriebe,vertreibe,vertreibt,haben
kicken,kicke,kickst,kickt,kickte,gekickt,kickte,kick,kickt,haben
ausstellen,stelle aus,stellst aus,stellt aus,stellte aus,ausgestellt,stellte aus,stell aus,stellt aus,haben
anschauen,schaue an,schaust an,schaut an,schaute an,angeschaut,schaute an,schau an,schaut an,haben
gären,gäre,gärst,gärt,gor,gegoren,göre,gäre,gärt,haben
abstürzen,stürze ab,stürzt ab,stürzt ab,stürzte ab,abgestürzt,stürzte ab,stürz ab,stürzt ab,sein
umkehren,kehre um,kehrst um,kehrt um,kehrte um,umgekehrt,kehrte um,kehr um,kehrt um,sein
kalligraphieren,kalligraphiere,kalligraphierst,kalligraphiert,kalligraphierte,kalligraphiert,kalligraphierte,kalligraphier,kalligraphiert,haben
regieren,regiere,regierst,regiert,regierte,regiert,regierte,regiere,regiert,haben
spülen,spüle,spülst,spült,spülte,gespült,spülte,spül,spült,haben
bersten,berste,birst,birst,barst,geborsten,bärste,birst,berstet,sein
ergänzen,ergänze,ergänzt,ergänzt,ergänzte,ergänzt,ergänzte,ergänze,ergänzt,haben
beeindrucken,beeindrucke,beeindruckst,beeindruckt,beeindruckte,beeindruckt,beeindruckte,beeindrucke,beeindruckt,haben
behandeln,behandele,behandelst,behandelt,behandelte,behandelt,behandelte,behandele,behandelt,haben
erbrechen,erbreche,erbrichst,erbricht,erbrach,erbrochen,erbräche,erbrich,erbrecht,haben
stoßen,stoße,stößt,stößt,stieß,gestoßen,stieße,stoße,stoßt,haben
kneifen,kneife,kneifst,kneift,kniff,gekniffen,kniffe,kneife,kneift,haben
eilen,eile,eilst,eilt,eilte,geeilt,eilte,eile,eilt,haben
ausgehen,gehe aus,gehst aus,geht aus,ging aus,ausgegangen,ginge aus,geh aus,geht aus,sein
räsonieren,räsoniere,räsonierst,räsoniert,räsonierte,räsoniert,räsonierte,räsoniere,räsoniert,haben
obedieren,obediere,obedierst,obediert,obedierte,obediert,obedierte,obediere,obediert,haben
erbieten,erbiete,erbietest,erbietet,erbot,erboten,erböte,erbiete,erbietet,haben
anbringen,bringe an,bringst an,bringt an,brachte an,angebracht,brächte an,bring an,bringt an,haben
wälzen,wälze,wälzt,wälzt,wälzte,gewälzt,wälzte,wälze,wälzt,haben
dringen,dringe,dringst,dringt,drang,gedrungen,dränge,dring,dringt,sein
lullen,lulle,lullst,lullt,lullte,gelullt,lullte,lull,lullt,haben
einlullen,lulle ein,lullst ein,lullt ein,lullte ein,eingelullt,lullte ein,lull ein,lullt ein,haben
vortäuschen,täusche vor,täuschst vor,täuscht vor,täuschte vor,vorgetäuscht,täuschte vor,täusch vor,täuscht vor,haben
empfangen,empfange,empfängst,empfängt,empfing,empfangen,empfinge,empfange,empfangt,haben
